unlocked,category,recipe,largeleek,tastymushroom,fancyegg,softpotato,fancyapple,fieryherb,beansausage,moomoomilk,honey,pureoil,warmingginger,snoozytomato,soothingcacao,slowpoketail,greengrasssoybeans,greengrasscorn,tastycoffee,heavypumpkin,shinyavocado,total,energy
1,デザート・ドリンク,ねがいごとアップルパイ,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,1748
1,デザート・ドリンク,ネロリのデトックスティー,0,9,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,5065
1,デザート・ドリンク,あまいかおりチョコケーキ,0,0,0,0,0,0,0,7,9,0,0,0,8,0,0,0,0,0,0,24,3378
1,デザート・ドリンク,モーモーホットミルク,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,814
1,デザート・ドリンク,かるわざソイケーキ,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,1924
1,デザート・ドリンク,はりきりプロテインスムージー,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,23,3263
1,デザート・ドリンク,マイペースやさいジュース,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,1924
1,デザート・ドリンク,おおきいマラサダ,0,0,0,0,0,0,0,7,6,10,0,0,0,0,0,0,0,0,0,23,3015
1,デザート・ドリンク,ちからもちソイドーナッツ,0,0,0,0,0,0,0,0,0,12,0,0,7,0,16,0,0,0,0,35,5547
1,デザート・ドリンク,だいばくはつポップコーン,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,15,0,0,0,36,6048
1,デザート・ドリンク,おちゃかいコーンスコーン,0,0,0,0,20,0,0,9,0,0,20,0,0,0,0,18,0,0,0,67,10925
1,デザート・ドリンク,はなびらのまいチョコタルト,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,22,3314
0,デザート・ドリンク,フラワーギフトマカロン,0,0,25,0,0,0,0,10,17,0,0,0,25,0,0,0,0,0,0,77,13834
1,デザート・ドリンク,はやおきコーヒーゼリー,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,16,0,0,42,6793
0,デザート・ドリンク,スパークスパイスコーラ,20,0,0,0,35,0,0,0,0,0,20,0,0,0,0,0,12,0,0,87,17494
1,デザート・ドリンク,かたやぶりコーンティラミス,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,14,0,0,40,7125
0,デザート・ドリンク,ドオーのエクレア,0,0,0,0,0,0,0,26,22,0,0,0,30,0,0,0,24,0,0,102,20885
0,デザート・ドリンク,ドキドキこわいかおパンケーキ,0,0,24,0,0,0,0,0,32,0,0,29,0,0,0,0,0,18,0,103,24354
0,デザート・ドリンク,グラスミキサースムージー,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,0,0,0,18,48,8165
0,デザート・ドリンク,みつあつめチョコワッフル,0,0,0,0,0,0,0,0,38,28,0,0,21,0,0,28,0,0,0,115,25484
